date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:00:06	81841/81841	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2007:28:35%20GMT	https://crsorgi.gov.in/web/index.php/auth/deathCertificate/view/cert/D/WHJlYXpwUmlLRDc1dzVmTHZCR2NUUT09%3D	C:/My%20Web%20Sites/BNPP/crsorgi.gov.in/web/index.php/auth/deathCertificate/view/cert/D/WHJlYXpwUmlLRDc1dzVmTHZCR2NUUT09=.html	(from )
13:00:07	237/237	---M-Z	200	added ('OK')	text/plain	etag:%222cf-5c2e48f1e1a40-gzip%22	https://crsorgi.gov.in/robots.txt		(from )
13:00:07	7942/7942	---M-Z	200	added ('OK')	text/css	etag:%221f06-5bda744340040-gzip%22	https://crsorgi.gov.in/web/css/style.css	C:/My%20Web%20Sites/BNPP/crsorgi.gov.in/web/css/style.css	(from https://crsorgi.gov.in/web/index.php/auth/deathCertificate/view/cert/D/WHJlYXpwUmlLRDc1dzVmTHZCR2NUUT09%3D)
13:00:07	1090/1090	---M-Z	200	added ('OK')	text/css	etag:%22442-5bda744340040-gzip%22	https://crsorgi.gov.in/web/css/default.css	C:/My%20Web%20Sites/BNPP/crsorgi.gov.in/web/css/default.css	(from https://crsorgi.gov.in/web/index.php/auth/deathCertificate/view/cert/D/WHJlYXpwUmlLRDc1dzVmTHZCR2NUUT09%3D)
13:00:07	4068/4068	---M-Z	200	added ('OK')	text/css	etag:%22fe4-5bda744340040-gzip%22	https://crsorgi.gov.in/web/css/main.css	C:/My%20Web%20Sites/BNPP/crsorgi.gov.in/web/css/main.css	(from https://crsorgi.gov.in/web/index.php/auth/deathCertificate/view/cert/D/WHJlYXpwUmlLRDc1dzVmTHZCR2NUUT09%3D)
13:00:08	59/59	---M--	200	added ('OK')	text/css	etag:%223b-5bda744340040%22	https://crsorgi.gov.in/web/css/jquery.ui.all.css	C:/My%20Web%20Sites/BNPP/crsorgi.gov.in/web/css/jquery.ui.all.css	(from https://crsorgi.gov.in/web/index.php/auth/deathCertificate/view/cert/D/WHJlYXpwUmlLRDc1dzVmTHZCR2NUUT09%3D)
13:00:08	14845/14845	---M-Z	200	added ('OK')	text/css	etag:%2239fd-5bda744340040-gzip%22	https://crsorgi.gov.in/web/css/jquery-ui-1.10.0.custom.css	C:/My%20Web%20Sites/BNPP/crsorgi.gov.in/web/css/jquery-ui-1.10.0.custom.css	(from https://crsorgi.gov.in/web/index.php/auth/deathCertificate/view/cert/D/WHJlYXpwUmlLRDc1dzVmTHZCR2NUUT09%3D)
13:00:08	24752/24752	---M-Z	200	added ('OK')	application/javascript	etag:%2260b0-5bda744710940-gzip%22	https://crsorgi.gov.in/web/js/mm_menu.js	C:/My%20Web%20Sites/BNPP/crsorgi.gov.in/web/js/mm_menu.js	(from https://crsorgi.gov.in/web/index.php/auth/deathCertificate/view/cert/D/WHJlYXpwUmlLRDc1dzVmTHZCR2NUUT09%3D)
13:00:09	143880/143880	---M-Z	200	added ('OK')	application/javascript	etag:%2223208-5bda744710940-gzip%22	https://crsorgi.gov.in/web/js/jquery-1.9.0.js	C:/My%20Web%20Sites/BNPP/crsorgi.gov.in/web/js/jquery-1.9.0.js	(from https://crsorgi.gov.in/web/index.php/auth/deathCertificate/view/cert/D/WHJlYXpwUmlLRDc1dzVmTHZCR2NUUT09%3D)
13:00:09	45821/45821	---M-Z	200	added ('OK')	application/javascript	etag:%22b2fd-5bda744710940-gzip%22	https://crsorgi.gov.in/web/js/jquery-ui-1.10.0.custom.js	C:/My%20Web%20Sites/BNPP/crsorgi.gov.in/web/js/jquery-ui-1.10.0.custom.js	(from https://crsorgi.gov.in/web/index.php/auth/deathCertificate/view/cert/D/WHJlYXpwUmlLRDc1dzVmTHZCR2NUUT09%3D)
